episode,reward,episode_length,timestep,reward_ma_50,reward_ma_100
210,-981.728584,55,6556,-855.4601755199999,-907.4793641699999
211,-978.679593,59,6615,-855.2882817799999,-907.3482100900001
212,-990.161137,26,6641,-855.46518716,-907.33594002
213,-879.825762,53,6694,-853.29861914,-906.22626821
214,-980.340422,54,6748,-853.19536624,-906.1623600999999
215,-868.397363,74,6822,-852.98988328,-904.93944353
216,-981.121164,50,6872,-852.79382794,-904.85256716
217,-987.246636,32,6904,-852.9713250799999,-904.84819955
218,-468.424102,84,6988,-852.5791298400001,-899.64952543
219,-977.182296,65,7053,-852.3824451,-899.5031894900001
220,-990.469885,40,7093,-852.5779984400001,-901.5363922
221,-979.385123,41,7134,-852.57659456,-901.4387885199999
222,-977.398688,56,7190,-862.4453895600001,-901.3223541399999
223,-872.336469,88,7278,-862.3270516200001,-901.15364888
224,-978.849903,46,7324,-872.2925443600001,-901.06720947
225,-981.009129,47,7371,-872.1799236799999,-901.0027889799999
226,-974.895976,62,7433,-872.0702163000001,-900.88622213
227,-978.174374,61,7494,-872.06439304,-900.7708159900001
228,-977.485247,45,7539,-871.8573348799999,-900.61734996
229,-979.046549,59,7598,-871.86947942,-901.52639878
230,-974.341824,49,7647,-881.6931324399999,-901.3904657200001
231,-975.725067,57,7704,-881.6129046000001,-901.30127437
232,-978.152009,69,7773,-881.5444791,-901.2173061499999
233,-782.762574,43,7816,-877.5146524,-899.1539226799999
234,-980.244738,49,7865,-877.47103428,-899.04617113
235,-777.554137,49,7914,-883.28764106,-896.91525826
236,-485.506289,44,7958,-875.45926414,-891.87914535
237,-382.509144,37,7995,-865.502232,-885.81342569
238,-879.711828,39,8034,-863.43920876,-884.72839489
239,-880.173107,75,8109,-871.37659386,-883.67005443
240,-980.82286,58,8167,-881.22197776,-883.6694449199999
241,-374.992511,53,8220,-869.2608353400001,-877.5263850800001
242,-973.518497,64,8284,-870.99800116,-877.42896432
243,-872.407819,67,8351,-880.6512421399999,-876.3175715599999
244,-980.297476,66,8417,-882.54807952,-876.2421705200001
245,-979.543818,48,8465,-892.30276092,-876.1540100099999
246,-980.525794,65,8530,-892.1613731199999,-876.15046378
247,-484.731998,50,8580,-882.04767386,-871.09502475
248,-976.340779,57,8637,-881.83777162,-871.94313551
249,-878.702532,71,8708,-889.6998737800001,-871.8361453000001
250,-881.798047,49,8757,-887.71272748,-870.79422286
251,-977.32017,78,8835,-889.547967,-870.7535295099999
252,-874.600077,64,8899,-887.5394193,-869.64297797
253,-982.738759,43,8942,-897.4633125400001,-869.5941342499999
254,-977.824398,70,9012,-897.3217359399999,-870.5137037400001
255,-974.85427,93,9105,-897.0217755799999,-870.43456682
256,-967.669558,67,9172,-896.5674072,-871.28186362
257,-975.159456,59,9231,-898.63690636,-871.1975890699999
258,-976.817021,76,9307,-898.6107033200001,-872.11580219
259,-878.427399,75,9382,-896.55864716,-871.0406173900001
260,-376.146968,58,9440,-884.4470148400001,-869.9535951800001
261,-977.747207,68,9508,-884.4283671200001,-869.8583244499999
262,-959.883153,94,9602,-883.82280744,-869.6439973
263,-984.627256,70,9672,-885.91883732,-869.60872823
264,-484.545958,65,9737,-876.0029480399999,-864.59915714
265,-480.909374,63,9800,-868.25318826,-860.6215357699999
266,-877.344796,58,9858,-866.1776608999999,-859.48574442
267,-981.141527,58,9916,-866.05555872,-859.5134419000001
268,-481.233943,66,9982,-866.3117555399999,-859.4454426899999
