Step,Reward,Optimal action (%)
274,-0.014833158954281165,0.0915
275,0.00498857023473067,0.098
276,-0.02064172393284039,0.109
277,-0.034656783367136255,0.0995
278,0.0267649929236868,0.1005
279,0.028725243155944963,0.1045
280,-0.01775170802167591,0.099
281,0.0326602544899816,0.1005
282,0.006380016691901098,0.092
283,0.005851124847563499,0.1065
284,-0.020221688318319917,0.095
285,0.0004135125741794952,0.1005
286,-0.016383063432481432,0.0985
287,-0.051296977459984267,0.094
288,0.011638729950548076,0.109
289,-0.0017525208204322226,0.1015
290,0.07475495870695732,0.1105
291,-0.03679694726569349,0.1
292,0.05213397408499521,0.1035
293,-0.02882774002717368,0.095
294,0.06625289205047481,0.1065
295,0.010330553731139122,0.105
296,0.025127986768316977,0.1045
297,0.0006549735167585477,0.101
298,0.04057799298679463,0.0995
299,0.018198595479789307,0.1
300,-0.020274228334415705,0.1015
301,-0.07122351247973435,0.094
302,-0.004490580251823022,0.0935
303,-0.004113627399386364,0.1005
304,-0.009271973985995241,0.102
305,-0.02915812770802098,0.0935
306,-0.0532980012134898,0.095
307,-0.007422134160813722,0.1115
308,-0.027861022334822735,0.0865
309,0.07889688331475787,0.103
310,0.001268149851226576,0.1015
311,-0.0045879275947543,0.0945
312,-0.03506672103306226,0.1085
313,-0.0015657722642837338,0.101
314,0.038407694692695366,0.103
315,0.0012036630775299696,0.096
316,-0.0051586919941762075,0.1035
317,-0.0709906595495225,0.0925
318,0.005591934484004668,0.096
319,-0.02051698246485359,0.0985
320,-0.045827874819003384,0.114
321,0.008479994555033704,0.1
322,0.03363951470240215,0.1075
323,0.017825457465169038,0.1025
324,-0.034141172036169405,0.0875
325,0.04356422108855303,0.105
326,-0.009532739975481208,0.0985
327,0.07657885276509364,0.1055
328,-0.005590323266494643,0.0945
329,-0.02159195560896833,0.086
330,0.02508340354614337,0.1085
331,-0.040362849600815896,0.102
332,-0.030626891363353167,0.1015
333,0.009494050223165311,0.1065
334,-0.014062870754408409,0.0955
335,0.04472432173128981,0.0985
336,-0.037829236980027034,0.0885
337,0.028120866001605835,0.097
338,0.04799259129129063,0.1085
339,0.010969715093013511,0.1025
340,0.004128301501841147,0.1015
341,0.0037491616002034373,0.099
342,-0.048507179625059606,0.0885
343,0.012137256643805246,0.0995
344,0.011403940161553827,0.1015
345,-0.010037913766150302,0.097
346,-0.030441230425051244,0.093
347,0.049942431302130136,0.1165
348,0.01688690122274332,0.1065
349,0.024435655246957677,0.112
350,0.03566502556899902,0.0885
351,0.020857560217909136,0.093
352,0.023296163891991864,0.094
353,-0.030268622603603048,0.097
354,-0.007915011293228278,0.1085
355,0.06402866244298289,0.1145
356,0.007022916115419233,0.1065
357,0.03579113805354238,0.1065
358,0.0007680131703948263,0.099
359,-0.0212088216289697,0.1045
360,0.0027141803984705943,0.102
361,-0.003234865375191919,0.0875
362,0.0271279069922631,0.116
363,-0.050693992940775465,0.095
364,0.028965496343167092,0.109
365,0.03850067837680231,0.099
366,-0.03185784779964841,0.104
367,0.0309312898946029,0.1
368,-0.0546163475174156,0.097
369,0.031445370829059384,0.0975
370,0.026150220446897358,0.101
371,-0.008634440471901579,0.093
372,0.026111778752956276,0.1
373,-0.008103276956069622,0.109
374,0.02484013590801199,0.105
375,-0.00563987255840857,0.1025
376,0.01153607131675647,0.0995
377,0.005068994028817166,0.094
378,0.0606051202058571,0.113
379,0.0020496232409627697,0.093
380,0.001590872308614444,0.0975
381,-0.0801424977270383,0.09
382,-0.040686969988575496,0.093
383,-0.046252033574553854,0.092
384,-0.009598397837915476,0.101
385,-0.016936816100728613,0.106
386,-0.013361756641935191,0.0975
387,-0.029171532920486475,0.1015
388,0.022491743282044594,0.0865
389,0.015296508788746615,0.102
390,-0.015350751687875615,0.095
391,0.004052969129875448,0.1
392,-0.011106682963297266,0.1035
393,0.01566291755190018,0.091
394,-0.07744662579728888,0.1005
395,0.019911910851328356,0.1115
396,-0.004162494835554797,0.106
397,0.020787507373682942,0.1035
398,0.01694420265031217,0.102
399,0.009832756588574052,0.102
400,0.0021663453678231514,0.094
401,-0.005907745631450413,0.103
402,-0.01934107785278014,0.1
403,-0.00994808884464615,0.103
404,0.008972718845352353,0.1035
405,-0.02987506622877848,0.095
406,0.0112984549813903,0.103
407,0.006534948580125232,0.088
408,0.007767808987539181,0.094
409,-0.007428015495564202,0.103
410,0.015357159458608344,0.1135
411,-0.023611251912343874,0.096
412,0.008591789347483137,0.085
413,0.049297371603505925,0.0925
414,-0.026466732792843315,0.1015
415,0.017591350073668216,0.095
416,-0.06591324647184024,0.1
417,0.07451549996315827,0.101
418,-0.0020940624674895244,0.099
419,0.01800893553901522,0.1055
420,-0.04742888370714132,0.097
421,0.03293065305843815,0.093
422,0.017399136651933354,0.1
423,-0.03395918900788435,0.0975
424,-0.024925451486343335,0.1055
425,-0.009798002468414252,0.107
426,0.0002322077047795958,0.1005
427,-0.06111963055938776,0.0895
428,-0.04142589958420719,0.1115
429,0.002763218454068655,0.1005
430,0.014173697586625598,0.0995
431,0.0582299996357207,0.1025
432,-0.015121555612052117,0.0995
433,0.007073934939488034,0.1
434,0.047845223603166745,0.101
435,0.027087007159727488,0.106
436,0.009539948324085593,0.0955
437,0.013231160335623424,0.1025
438,-0.010880429489847918,0.1005
439,-0.020268883114828155,0.1005
440,-0.04079040185137033,0.0945
441,0.007630242978021836,0.0955
442,0.04374987480679925,0.1145
443,0.014601222141997784,0.106
444,0.03247198638015823,0.111
445,0.02298962981687155,0.103
446,0.015369432373686693,0.1085
447,-0.02430732276184869,0.0975
448,-0.006490847433018378,0.111
449,-0.023009840929702593,0.0955
450,0.026503141908101463,0.103
451,-0.0008492983082553918,0.1
452,0.012242093183618933,0.098
453,0.016778683023840137,0.086
454,-0.012136184073120572,0.091
455,0.015416456418920182,0.1015
456,-0.0390016807924812,0.082
457,-0.04963111228108156,0.0985
458,0.0124590076077691,0.111
459,-0.04516256088074549,0.092
460,-0.04900519875639718,0.0915
461,0.0174255939232227,0.103
462,0.01759404498231069,0.1035
463,-0.002514881267060065,0.0985
464,0.001152091355782501,0.0995
465,-0.021697488396743788,0.0945
466,0.01846212212125355,0.0935
467,-0.07008476292314682,0.09
468,-0.04677706401512065,0.0925
469,0.04862183105256049,0.1025
470,-0.011106723455285324,0.092
471,0.0005057065602421809,0.1005
472,-0.015719460418344756,0.1015
473,0.03636612666276754,0.1085
474,-0.014035648906459974,0.088
475,-0.0025755227668419578,0.1075
476,-0.004672280022473108,0.0975
477,0.012222510458673537,0.1005
478,0.021277006524215485,0.095
479,-0.033080088689375585,0.0995
480,-0.0268137062197629,0.1005
481,-0.02032906733323471,0.1035
482,-0.014928682656035263,0.087
483,0.0276878441729615,0.098
484,0.05181422498590784,0.1005
485,-0.04469860837546561,0.091
486,-0.004136111242979924,0.108
487,0.010664411888552777,0.1135
488,-0.03793556662447876,0.1045
489,-0.020906266580289695,0.0985
490,-0.016780035064274088,0.096
491,-0.04640465449756252,0.0965
492,0.01739725907565584,0.105
493,0.04282448091887124,0.1025
494,-0.026880632013846915,0.102
495,-0.04669628805636198,0.1015
496,-0.04915055382765666,0.0975
497,-0.0017445376888037649,0.1065
498,0.03267957580693981,0.1
499,-0.002458404480779428,0.0895
500,-0.016070629124334206,0.095
501,0.02900106457996085,0.1005
502,-0.01632735999507706,0.0975
503,-0.004491481486470135,0.1035
504,0.0497593904369308,0.1055
505,0.00431179861627742,0.104
506,-0.019190108920084766,0.099
507,0.0051124887068095684,0.093
508,-0.03832660357547881,0.0985
509,-0.03857834500104921,0.0905
510,0.0071695365792294324,0.0915
511,-0.05719696451560326,0.099
512,-0.007565112587420635,0.096
513,-0.005542446272778091,0.089
514,-0.04479955290384237,0.0955
515,-0.0008134232313988834,0.1065
516,-0.02780588913342888,0.1075
517,0.03873903486854141,0.107
518,-0.0374673251234417,0.097
519,-0.04119602516527551,0.0935
520,0.023006866596176935,0.0925
521,-0.02703412121035288,0.107
522,0.061771682360487946,0.093
523,-0.008769718458331655,0.1055
524,-0.014028939698363021,0.0975
525,0.024345030677602797,0.1075
526,-0.03478972839230537,0.0875
527,-0.011551005310906859,0.098
528,-0.0444560199744397,0.096
529,0.009712112661075046,0.094
530,-0.016649825088852665,0.1075
531,0.035183971777029414,0.105
532,0.0013508561931090109,0.0995
533,0.0014767845323800544,0.1065
534,-0.028035766943586254,0.093
535,-0.042680927810445246,0.091
536,0.0042532245698752354,0.096
537,0.06218779690813694,0.113
538,-0.04502203121115339,0.0885
539,0.010998577771480004,0.0995
540,-0.008622485793237432,0.095
541,-0.04242359009249684,0.0885
542,-0.026942163029394516,0.107
543,0.01675304684469728,0.0985
544,0.01940569249988448,0.094
545,0.010877994759086376,0.1045
546,-0.034594187902055124,0.0955
547,0.022535809934288706,0.1035
548,0.013631799260507647,0.1085
549,-0.006855953044411561,0.095
550,-0.027953100915672564,0.0865
551,-0.03303014355685055,0.0925
552,-0.041094589780452336,0.0935
553,0.023299693127243393,0.104
554,0.010477746772966723,0.104
555,-0.03897572873927876,0.0935
556,-0.04506702186566411,0.102
557,0.04332294054529293,0.0985
558,-0.049153459023361434,0.09
559,0.054954759534721426,0.113
560,-0.03590355916418024,0.0965
561,0.033320049652612475,0.1015
562,-0.015375481691684153,0.1085
563,0.019383506971701388,0.0965
564,0.015860875654140776,0.0965
565,-0.02949479242379564,0.098
566,0.018177674800218722,0.102
567,0.04699672872842471,0.104
568,-0.015400559610764605,0.0985
569,0.05756241013217526,0.1005
570,-0.00032353220496611333,0.1005
571,-0.014691625297239448,0.0955
572,-0.0030006568448714297,0.099
573,-0.08445248831280014,0.0845
574,0.010159967482727914,0.102
575,0.036257019478416905,0.0895
576,-0.00016412558423617373,0.0915
577,0.058842832880026244,0.1035
578,0.019441586399777472,0.1095
579,0.02741429911562363,0.104
580,-0.013292954267128945,0.099
581,-0.02891944614776333,0.095
582,-0.028103880259407063,0.099
583,0.001695141356762488,0.0925
584,0.015584559906868172,0.1005
585,0.003915849183656566,0.0955
586,0.006913072935206797,0.101
587,0.015038819634829607,0.107
588,-0.0203754383117878,0.092
589,-0.016749840870072898,0.0975
590,-0.033798050923329916,0.09
591,0.021631186500713467,0.1095
592,-0.013831314833511507,0.1035
593,-0.057964269986761775,0.096
594,-0.02800613108763017,0.095
595,-0.02657252405827713,0.0995
596,0.020547284724897488,0.1125
597,0.05762292209853546,0.105
598,0.04093580859949683,0.0965
599,-0.05227777361892842,0.099
600,0.0007492620256969442,0.102
601,0.024154931842251898,0.0955
602,-0.0038752644274718455,0.1025
603,-0.008215437806056733,0.1
604,-0.028407819016569774,0.098
605,-0.03813514754499441,0.1005
606,0.022206282873969026,0.096
607,-0.04627212708301957,0.0885
608,-0.0033077220030993614,0.101
609,-0.0464213872020567,0.095
610,-0.03530245260519037,0.0905
611,-0.032095806619068,0.0865
612,-0.022650852059324208,0.092
613,-0.03396645618795093,0.095
614,-0.009155059115750454,0.1005
615,0.022284115977398378,0.1015
616,0.03450713978090299,0.1115
617,-0.005830334282725843,0.097
618,0.022266203062083115,0.1025
619,-0.0052256783613097366,0.0975
620,0.028879875468955644,0.1065
621,0.013690004238488918,0.102
622,0.0050053605382244,0.0985
623,0.016030708091212043,0.0955
624,-0.0031193469571184898,0.1085
625,0.047271087136395634,0.1135
626,-0.017256429622105975,0.102
627,-0.007862987714735323,0.09
628,0.006155621655150678,0.094
629,0.004540332987010244,0.1095
630,0.01264977889398941,0.099
631,-0.04227687642744178,0.0955
632,0.012253204350940997,0.0905
633,0.009033673810841095,0.1
634,0.007750833223281715,0.1035
635,0.029875822358850654,0.0995
636,-0.010251724931940976,0.087
637,0.029227096246683324,0.1075
638,-0.014694456312034062,0.099
639,0.03049601982660849,0.0945
640,0.025759303672875183,0.105
641,-0.006630400194503877,0.0875
642,0.034220331167265056,0.1035
643,-0.03725328574975675,0.093
644,0.06211816645826876,0.111
645,0.01475787542105522,0.094
646,0.04576830486085315,0.108
647,-0.0014008675035099359,0.1005
648,-0.023980897960864875,0.0965
649,0.003465714432099302,0.097
650,-0.030513873577789244,0.099
651,0.021232755111786877,0.098
652,-0.028456380697733784,0.097
653,0.03550248161506033,0.111
654,0.013728353535036226,0.098
655,-8.378322753206702e-05,0.101
656,-0.011150182896426735,0.088
657,-0.03750737793937712,0.0925
658,0.000793298220412958,0.1055
659,-0.040973121798879734,0.088
660,0.0219007536485115,0.0915
661,-0.01908452330247566,0.11
662,0.03326612054100352,0.1085
663,0.009718889299875655,0.094
664,-0.036668692681097625,0.0965
665,0.006143200948455676,0.109
666,-0.017738257081689628,0.1085
667,0.018541171509419137,0.105
668,-0.005727203080672603,0.0955
669,-0.024116239064025245,0.096
670,0.015415585990940462,0.1065
671,0.0015009865023771327,0.1125
672,-0.034669950298705336,0.107
673,-0.0003572297113784727,0.0945
674,-0.026736520921685988,0.103
675,0.025203548612337676,0.1165
676,-0.02669630401596913,0.0965
677,-0.011643179941414832,0.095
678,-0.004683571288524145,0.1065
679,0.005690863248285175,0.0945
680,-0.01728839316692069,0.102
681,-0.005583051699688443,0.1
682,-0.015027745835097975,0.0895
683,0.008314067778545087,0.104
684,0.02145778774723284,0.1025
685,-0.03098514780470087,0.096
686,-0.005543925590193449,0.098
687,0.005304167308165895,0.0935
688,0.016668596171724222,0.105
689,-0.01879833966161787,0.1055
690,-0.010770587923590785,0.0935
691,0.037310029512297824,0.103
692,-0.02888662675038988,0.1025
693,0.004884353104292133,0.0955
694,0.03272946390521959,0.109
695,0.01862996369652296,0.1025
696,0.03595512026421949,0.1125
