Episodio,Recompensa_Promedio,Desviacion_Estandar
2.070000000000000000e+03,-9.496404298587599158e+00,1.307495461916019508e-02
2.080000000000000000e+03,-9.507131040849625236e+00,3.214945218132037041e-03
2.090000000000000000e+03,-9.481365812908711277e+00,3.456924232203562042e-04
2.100000000000000000e+03,-9.499717772190358289e+00,1.716022822159413153e-02
2.110000000000000000e+03,-9.492469797966448297e+00,9.075141065579828137e-04
2.120000000000000000e+03,-9.453929985501829947e+00,1.303069311905158401e-02
2.130000000000000000e+03,-9.490671207659573838e+00,4.858244647798493077e-03
2.140000000000000000e+03,-9.507234430512976786e+00,9.726005498243317504e-03
2.150000000000000000e+03,-9.511799319217754345e+00,4.638773661418404970e-03
2.160000000000000000e+03,-9.492890382116986103e+00,2.077255029316571466e-02
2.170000000000000000e+03,-9.506291588597845177e+00,2.148952540400372868e-03
2.180000000000000000e+03,-9.489424987311760873e+00,1.510465822555229209e-02
2.190000000000000000e+03,-9.488204281900902259e+00,1.569128684748211100e-02
2.200000000000000000e+03,-9.507583217653316154e+00,2.831557421948183162e-03
2.210000000000000000e+03,-9.479216457775471838e+00,4.635018101750709718e-03
2.220000000000000000e+03,-9.511370098129290795e+00,6.189923253092644018e-04
2.230000000000000000e+03,-9.497067295059514080e+00,2.343645949309802745e-03
2.240000000000000000e+03,-9.505492977876865979e+00,1.241827496920944185e-02
2.250000000000000000e+03,-9.481331162537902202e+00,1.202518036440647364e-02
2.260000000000000000e+03,-9.488442970820035072e+00,6.993509355655014303e-03
2.270000000000000000e+03,-9.498806418963154030e+00,3.998369627799647219e-03
2.280000000000000000e+03,-9.494044152519787616e+00,1.241689450483729473e-02
2.290000000000000000e+03,-9.477493086270357026e+00,1.561955385876512281e-02
2.300000000000000000e+03,-9.479787255129611623e+00,1.379680218439371941e-02
2.310000000000000000e+03,-9.475776947475354817e+00,1.397239482692569368e-02
2.320000000000000000e+03,-9.498057611812004808e+00,2.226323006215835676e-03
2.330000000000000000e+03,-9.490492678915623870e+00,4.077026054991605974e-03
2.340000000000000000e+03,-9.487846917017201065e+00,9.941179034852254404e-03
2.350000000000000000e+03,-9.495931791609219630e+00,8.981855820325179707e-03
2.360000000000000000e+03,-9.502622188865089470e+00,4.202644224250207117e-03
2.370000000000000000e+03,-9.511565601730911368e+00,4.184602698726003212e-03
2.380000000000000000e+03,-9.519820909768352379e+00,1.135127829396509469e-03
2.390000000000000000e+03,-9.504296459762493043e+00,1.140158129592450109e-02
2.400000000000000000e+03,-9.499309391486214338e+00,1.771902491162880011e-02
2.410000000000000000e+03,-9.511247619394566755e+00,8.164604660088947696e-03
2.420000000000000000e+03,-9.500759539927912556e+00,1.169360044044065461e-02
2.430000000000000000e+03,-9.495446379950895022e+00,6.923629569763889435e-04
2.440000000000000000e+03,-9.474751392553031337e+00,3.154813944086765076e-02
2.450000000000000000e+03,-9.492953187984964458e+00,1.902014142998176283e-02
2.460000000000000000e+03,-9.496563969266883731e+00,2.067277248490739794e-02
2.470000000000000000e+03,-9.507898090447721273e+00,8.057704031393164712e-03
2.480000000000000000e+03,-9.505462001465655675e+00,3.716559784721251702e-02
2.490000000000000000e+03,-9.468652544192238452e+00,8.284265368783572114e-03
2.500000000000000000e+03,-9.502475376347263136e+00,7.920374467173196820e-03
2.510000000000000000e+03,-9.491603837251156861e+00,1.400702017246224784e-02
2.520000000000000000e+03,-9.512097508061518880e+00,5.275828424537998274e-03
2.530000000000000000e+03,-9.503411952936261287e+00,1.250682489616572468e-03
2.540000000000000000e+03,-9.491249096736652291e+00,1.527048842274236762e-02
2.550000000000000000e+03,-9.491420089249851699e+00,1.716889002578270151e-03
2.560000000000000000e+03,-9.511460824784670365e+00,2.946455246934132077e-02
2.570000000000000000e+03,-9.498097411909945720e+00,2.017714233165435189e-03
2.580000000000000000e+03,-9.487949458166355043e+00,1.037104464108473678e-02
2.590000000000000000e+03,-9.471269919915172864e+00,9.744722532654570557e-03
2.600000000000000000e+03,-9.494183227299618721e+00,8.690188866106396404e-03
2.610000000000000000e+03,-9.480916400693311985e+00,1.096315131152358902e-02
2.620000000000000000e+03,-9.481140542248180481e+00,9.393205659110392958e-03
2.630000000000000000e+03,-9.484658857618834205e+00,2.330481991152666410e-02
2.640000000000000000e+03,-9.492587782279297670e+00,1.096335764963995985e-02
2.650000000000000000e+03,-9.492748175150367729e+00,5.000890278181735482e-03
2.660000000000000000e+03,-9.509843929488170033e+00,8.624455890704929573e-03
2.670000000000000000e+03,-9.510067101762057717e+00,3.465125452617456858e-05
2.680000000000000000e+03,-9.508271771826684926e+00,1.903380784562092032e-02
2.690000000000000000e+03,-9.518521832416045214e+00,9.131377863048406596e-03
2.700000000000000000e+03,-9.503429380103067814e+00,8.135422092443889142e-03
2.710000000000000000e+03,-9.511993574606513846e+00,9.047738992541631831e-03
2.720000000000000000e+03,-9.510549695827458905e+00,1.157915892438232675e-02
2.730000000000000000e+03,-9.490318797976467380e+00,2.213424927519724861e-02
2.740000000000000000e+03,-9.495035591927036833e+00,2.489357293069893728e-02
2.750000000000000000e+03,-9.492382682502203295e+00,1.491129467083673887e-02
2.760000000000000000e+03,-9.499279007720941692e+00,3.244224445028365267e-03
2.770000000000000000e+03,-9.481057150004282619e+00,5.295759679032840950e-03
2.780000000000000000e+03,-9.472465646957822116e+00,1.912746104740126185e-02
2.790000000000000000e+03,-9.493029337252096411e+00,8.884458384503801653e-03
2.800000000000000000e+03,-9.498962775135954217e+00,3.436225303012463428e-03
2.810000000000000000e+03,-9.488136030024019618e+00,1.149907418372109191e-02
2.820000000000000000e+03,-9.467182441769516288e+00,4.177834792952417331e-03
2.830000000000000000e+03,-9.498222812174903495e+00,9.554133603748127257e-03
2.840000000000000000e+03,-9.513095302251528551e+00,4.836652879043334963e-03
2.850000000000000000e+03,-9.476489290455681669e+00,6.918750781152560592e-03
2.860000000000000000e+03,-9.504350486808998966e+00,2.542680308024980809e-02
2.870000000000000000e+03,-9.516591647013715516e+00,6.842628422543128863e-05
2.880000000000000000e+03,-9.513698037403642616e+00,3.041984490405269526e-03
2.890000000000000000e+03,-9.502462867234140020e+00,3.513304553441010114e-03
2.900000000000000000e+03,-9.497279340401144410e+00,3.719573367918727058e-03
2.910000000000000000e+03,-9.467383321151750408e+00,9.732491843221779959e-04
2.920000000000000000e+03,-9.486720892459693744e+00,1.135123967160467373e-02
2.930000000000000000e+03,-9.495084048015755229e+00,2.135734514257414673e-03
2.940000000000000000e+03,-9.504928223295827650e+00,2.720893678004721039e-02
2.950000000000000000e+03,-9.498204745794785353e+00,1.751548746653952549e-02
2.960000000000000000e+03,-9.516581441892302706e+00,8.969534937931733509e-03
2.970000000000000000e+03,-9.513754500687690907e+00,1.740307622810810528e-02
2.980000000000000000e+03,-9.479888165464050331e+00,4.693815313253857369e-03
2.990000000000000000e+03,-9.462624246651634152e+00,2.235990461542947116e-02
3.000000000000000000e+03,-9.508689730944572815e+00,7.806616435406255050e-04
3.010000000000000000e+03,-9.476693498541795435e+00,1.962787264190168912e-02
3.020000000000000000e+03,-9.512725826284937014e+00,2.838922327727644301e-03
3.030000000000000000e+03,-9.510460301374729752e+00,8.260755165085953422e-04
3.040000000000000000e+03,-9.491857051950415070e+00,8.047345819359286168e-03
3.050000000000000000e+03,-9.513721165141054925e+00,1.438022528057558702e-02
3.060000000000000000e+03,-9.507480227487725699e+00,3.723671507848358431e-03
3.070000000000000000e+03,-9.489254108608740523e+00,1.464136166013396689e-02
3.080000000000000000e+03,-9.503375509359091922e+00,7.777833614842855070e-03
3.090000000000000000e+03,-9.512507708882452562e+00,5.133762218982873549e-03
3.100000000000000000e+03,-9.498630895728702228e+00,1.848878840713386040e-02
3.110000000000000000e+03,-9.524895407336469333e+00,7.979856890963255012e-03
3.120000000000000000e+03,-9.490749779981557666e+00,1.044727963454228359e-02
3.130000000000000000e+03,-9.497391771397058591e+00,2.256726063820480022e-02
3.140000000000000000e+03,-9.505160728677989113e+00,4.891339776257552785e-03
3.150000000000000000e+03,-9.495055104624672282e+00,1.752032356762356358e-02
3.160000000000000000e+03,-9.495732223266053040e+00,1.291697691370607970e-03
3.170000000000000000e+03,-9.511646786547789389e+00,3.518992210889138050e-02
3.180000000000000000e+03,-9.502165393319117470e+00,1.226402809544069328e-02
3.190000000000000000e+03,-9.491337676144148361e+00,3.550261046057379133e-03
3.200000000000000000e+03,-9.478696258896256666e+00,2.981062835150982693e-02
3.210000000000000000e+03,-9.469355630125667389e+00,8.063517033178868587e-04
3.220000000000000000e+03,-9.501312083295182731e+00,6.026491428273494932e-03
3.230000000000000000e+03,-9.498865035440203997e+00,1.382247050862872584e-04
3.240000000000000000e+03,-9.488772424102087655e+00,3.072711640799141719e-04
3.250000000000000000e+03,-9.502171588146456571e+00,6.590487961362079261e-03
3.260000000000000000e+03,-9.494982853464062345e+00,1.376521782795236959e-02
3.270000000000000000e+03,-9.495970230830092618e+00,1.144429507800026613e-02
3.280000000000000000e+03,-9.513848563543774617e+00,1.853725875280609614e-02
3.290000000000000000e+03,-9.510021392437415955e+00,1.336012600181479826e-02
3.300000000000000000e+03,-9.504887069183538983e+00,1.148418932089878552e-02
3.310000000000000000e+03,-9.482280306520328494e+00,1.640958193919850316e-02
3.320000000000000000e+03,-9.495885179200065807e+00,5.743215341541763053e-03
3.330000000000000000e+03,-9.508111776264270176e+00,1.553392028239564127e-02
3.340000000000000000e+03,-9.497559581704138054e+00,1.137117260165965149e-02
3.350000000000000000e+03,-9.503739974900154763e+00,6.460588713467885214e-03
3.360000000000000000e+03,-9.489734808810814215e+00,1.654495589252924503e-02
3.370000000000000000e+03,-9.501369417029835063e+00,7.204919513307928014e-03
3.380000000000000000e+03,-9.507256685425762299e+00,1.223495786434281030e-02
3.390000000000000000e+03,-9.497015400647162764e+00,9.822100006635636760e-03
3.400000000000000000e+03,-9.481476605936819624e+00,3.572477215635938563e-02
3.410000000000000000e+03,-9.486262739741455619e+00,4.580534405740266379e-02
3.420000000000000000e+03,-9.518721581438665424e+00,1.801065149349767580e-02
3.430000000000000000e+03,-9.504121462408011922e+00,2.154657250325531237e-02
3.440000000000000000e+03,-9.499074184324506120e+00,2.612620352875882901e-02
3.450000000000000000e+03,-9.499696840837501099e+00,2.097757023477964111e-02
3.460000000000000000e+03,-9.489677621242664785e+00,2.738348928017408923e-02
