Episodio,Q-learning,Q-learning_std,Sarsa (1-step),Sarsa (1-step)_std,Sarsa (8-step),Sarsa (8-step)_std,Multi-goal Q-learning,Multi-goal Q-learning_std,Multi-goal Sarsa,Multi-goal Sarsa_std
43,538.84,478.3931797172698,791.19,804.8719611838892,977.15,1076.7342882531416,563.77,481.24236835507327,470.15,529.2939707761652
44,511.85,480.4678215031679,816.89,774.5942666325382,956.35,973.963771143465,535.28,572.3503661220109,515.2,502.3513511477798
45,522.37,452.8108800592142,687.31,680.7299272839412,711.02,792.2162454784677,460.64,446.0579451147575,526.04,459.89087662183516
46,468.87,489.22211019127093,935.93,777.0066956596964,801.12,838.003105960831,590.96,457.04365043177216,501.17,490.33062427305106
47,558.7,497.17850918960676,724.22,701.7183135703385,870.58,1079.4145003658234,617.35,514.7246715478093,489.27,485.9427096891156
48,540.3,527.8122677619381,691.25,660.7230490152436,1098.4,1228.9486156874095,527.67,440.88511099831885,559.01,513.2348486804068
49,554.03,484.7064772622706,838.7,783.2631805466154,898.7,1028.442098516003,564.94,487.4892577277986,529.74,545.4725404637707
50,521.2,442.39832730244353,673.04,631.9087579706425,1133.23,1260.7473327752866,472.66,409.83026291380673,568.9,489.8308585624225
51,474.3,417.4952335057251,766.6,711.9375955798372,903.87,1008.8526220910566,577.97,479.1126267382232,470.2,462.5125079389744
52,433.2,439.0408409248506,702.14,702.491366779692,943.63,1042.4813826155364,519.26,500.58946493109494,512.93,478.60775704119135
53,487.12,441.6309835145175,886.27,779.6119913777621,766.51,959.0725467346044,558.9,426.26811984946755,584.78,490.30634464587536
54,531.33,486.0601414434226,826.35,842.7650132154275,921.46,966.8182189015675,460.54,492.52395718381047,528.76,498.48111538954004
55,502.92,460.4000582102483,636.42,593.7320301280704,859.52,1053.1299015790978,630.12,612.6359323448146,494.27,433.26268833122475
56,518.02,485.32928986410883,776.52,750.6698672519097,912.51,1039.955936518466,442.23,480.8864908686872,525.59,491.47488430234154
57,536.98,485.1806463576222,830.05,783.2630002112957,892.29,1058.3922930085992,510.22,457.8185138239825,583.81,519.9456259071713
58,407.23,411.6829084380356,831.88,710.8182648187931,857.44,982.0873109861466,559.16,460.3121923216894,597.09,500.2249313059077
59,463.09,511.3413751106007,697.3,639.3409028053815,1014.54,1135.7661504024493,495.39,446.84260976321406,618.29,523.9765318217983
60,511.38,432.9737585581832,701.73,672.6975376051261,877.32,1092.1035654185914,552.78,527.079701373521,529.28,454.0787394274257
61,472.4,486.5067522655775,811.33,848.667579856801,828.07,833.9621005177632,512.29,495.7427416513529,446.46,446.36004346267373
62,550.5,526.0509956268498,689.77,822.3283754680972,646.2,859.8461490289995,524.09,484.0729510104855,533.01,472.89166824971664
63,613.53,573.555393227193,869.46,826.0781732983869,1024.68,1193.3118609986243,531.34,493.6587529863113,466.53,456.76242084917635
64,380.29,335.1432319173401,806.81,675.1931530310418,858.22,975.9614908386498,375.67,376.3082793402239,519.48,541.9164968885889
65,469.27,476.4910042172884,901.79,726.6272399931067,761.57,978.8599823774596,459.44,400.27998501049234,470.3,426.7873123699907
66,511.37,442.7152054086239,856.71,735.9246604782313,755.5,946.7624570080924,501.7,443.4895376443507,498.81,496.54169401974684
67,449.99,413.3306302465376,736.2,729.1821445976307,692.76,847.9779492416061,512.3,441.1153250568382,629.53,549.3579243990206
68,481.42,458.36887285242216,1009.74,857.1552440485913,783.15,868.937113662433,481.93,469.9635784824181,554.57,464.70795678576445
69,450.36,428.36572038387953,836.92,728.7985548833093,817.82,1072.085634452771,470.25,403.83192976781817,419.84,443.45648535115595
70,460.71,428.50284234763257,794.41,731.5742080609458,806.6,860.8750199651518,491.79,478.62445184089796,463.89,452.4926937531698
71,448.23,389.28683139813506,754.73,738.3458790431487,685.34,882.1977240959081,490.79,404.13567758860387,532.43,458.94209340612895
72,520.78,460.45452717939486,867.19,770.7076059699942,776.01,819.4698468522192,529.42,432.26119835118214,589.49,500.67914865710173
73,465.69,480.2000144731358,946.32,830.0493585323707,875.36,1064.4529066144728,409.63,371.7056807475505,430.44,364.55837173215485
74,574.58,515.55153340864,737.69,668.4189209619967,764.94,979.3511609223732,575.61,493.12018606015306,594.93,492.36072660194986
75,508.66,429.70664923875677,814.02,791.3619270599261,670.46,811.8387453183052,451.8,343.98828468423176,447.46,382.5331206575451
76,453.49,384.2493850352919,955.7,767.025951321075,646.02,804.3086345427355,453.55,462.31814532851723,526.19,482.30524971225424
77,436.85,426.88212365944787,904.68,910.9878800511016,660.69,760.538331644106,444.26,438.73223314454566,488.56,426.0803520464187
78,454.75,423.70278203004517,828.89,713.6982400847014,746.69,931.8088719796563,510.96,449.7513517489415,455.1,440.05807571274045
79,474.46,451.14080773080144,828.6,748.2651268100096,594.42,747.5399812719047,471.03,437.0294831015408,470.22,436.20877065918796
80,444.32,452.76636094126957,885.97,785.9878428449132,649.14,693.6977875126892,472.95,457.8524298286511,404.2,412.7096073512222
81,464.92,390.00653020173905,873.84,743.0302647941064,587.49,766.2397470113384,415.11,415.9897569652407,535.34,525.9685583758786
82,457.73,407.2530136168424,898.9,815.8536817346597,939.19,1099.233393734015,399.57,375.9826659568231,596.37,561.2184005358343
