Episodio,Q-learning,Sarsa (1-step),Sarsa (8-step),Multi-goal Q-learning,Multi-goal Sarsa
193,362.35,829.87,498.56,290.67,369.95
194,314.12,763.76,506.01,309.37,326.44
195,343.9,950.47,443.74,351.25,297.49
196,281.51,848.76,375.61,343.14,329.18
197,296.67,842.77,384.75,373.3,304.17
198,298.05,928.95,553.66,315.42,314.38
199,320.09,964.0,520.04,341.05,364.66
200,311.93,814.23,471.66,325.41,328.05
201,382.02,955.52,435.85,344.47,290.77
202,336.73,946.05,379.62,338.59,374.13
203,308.78,819.41,414.23,354.05,318.97
204,281.35,799.42,582.58,277.91,283.15
205,305.88,922.7,505.51,356.01,349.69
206,278.73,811.53,432.93,331.04,292.25
207,388.82,722.57,453.09,330.97,338.4
208,311.63,865.75,515.94,330.84,345.13
209,326.47,821.63,455.99,318.66,316.13
210,301.91,1004.4,363.54,368.34,254.93
211,314.3,861.54,480.79,306.89,289.18
212,290.07,653.66,414.86,317.59,334.05
213,318.28,793.86,535.58,331.96,275.75
214,347.58,967.25,356.12,299.04,295.34
215,283.05,885.85,455.61,333.18,299.61
216,325.45,969.13,533.7,318.61,275.19
217,310.76,707.36,450.28,292.54,346.46
218,352.35,868.48,413.54,275.73,349.22
219,355.91,862.05,435.8,286.42,300.94
220,323.15,787.31,544.55,304.34,298.84
221,321.67,874.04,412.4,325.82,268.66
222,331.54,980.46,365.09,273.59,317.67
223,326.98,803.36,362.83,387.28,275.12
224,313.98,749.69,462.87,276.27,308.93
225,330.55,969.55,427.14,272.27,311.21
226,312.26,783.56,343.06,258.0,291.68
227,264.46,886.62,485.5,341.34,299.59
228,295.46,864.66,518.56,368.22,318.81
229,281.51,783.07,427.91,318.04,320.13
230,297.66,867.6,373.65,361.31,387.93
231,282.59,923.53,607.17,283.23,340.2
232,301.48,896.05,391.45,265.52,319.84
233,268.53,953.79,438.06,261.36,327.95
234,291.16,763.02,399.71,291.67,284.04
235,343.7,965.55,505.5,344.15,304.0
236,341.5,795.17,372.55,294.66,289.78
237,308.77,857.18,391.46,283.95,336.39
238,254.62,776.06,328.13,261.65,295.15
239,374.81,826.47,336.01,256.27,309.84
240,327.73,982.64,477.81,297.35,293.94
241,239.86,1001.45,421.8,318.59,307.35
242,285.92,927.08,308.83,328.19,249.94
243,298.86,794.86,320.1,267.14,309.67
244,332.49,827.89,325.71,248.58,313.63
245,294.87,702.39,370.46,340.51,345.24
246,249.19,779.47,318.74,309.18,336.69
247,255.14,672.03,505.07,259.92,309.16
248,328.69,906.2,355.76,277.37,261.73
249,285.85,1100.17,392.66,259.8,258.15
250,319.44,947.89,484.31,307.11,322.45
251,277.63,790.67,398.09,253.45,252.42
252,268.55,919.81,336.72,224.06,299.19
253,276.78,864.23,472.87,336.55,282.18
254,350.33,914.29,413.92,260.12,300.01
255,256.24,1001.54,440.01,256.72,305.95
256,302.88,807.3,552.04,259.87,268.83
257,279.03,886.82,474.79,281.9,280.45
258,276.49,765.5,378.18,289.67,317.16
259,324.6,801.93,393.33,307.39,292.3
260,290.01,858.07,354.12,335.17,276.07
261,239.63,858.0,293.96,282.47,284.51
262,285.75,854.38,395.12,292.5,323.46
263,285.47,840.36,353.63,266.61,319.84
264,252.28,978.42,300.66,306.28,316.59
265,312.93,760.98,422.02,271.13,272.52
266,255.67,845.62,461.88,303.88,266.55
267,284.04,923.04,385.55,279.9,307.14
268,272.68,895.2,327.83,215.78,297.41
269,247.83,777.04,402.2,318.37,300.27
270,266.1,948.66,517.19,247.03,258.95
271,297.13,741.52,365.55,248.41,291.29
272,264.9,1000.03,396.95,264.65,224.74
273,250.78,839.4,439.1,248.32,270.29
274,274.17,864.95,432.69,260.25,262.2
275,306.14,795.39,376.68,328.07,317.54
276,310.75,918.02,386.73,255.41,248.01
277,271.79,862.15,335.61,320.19,239.82
278,275.04,973.6,441.24,264.72,221.54
279,262.8,812.11,389.38,269.13,322.48
280,257.43,802.01,364.41,242.42,244.18
281,320.56,894.88,339.15,300.65,267.78
282,307.99,795.34,418.83,231.09,278.75
283,282.16,905.01,453.87,278.46,284.35
284,260.86,770.6,472.72,304.51,239.83
285,273.59,884.5,442.48,256.96,244.29
286,261.77,832.31,329.91,318.78,238.66
287,275.34,950.13,377.35,274.94,280.84
288,286.59,688.57,355.44,302.38,227.98
289,259.65,830.85,439.65,256.13,296.8
290,297.89,847.88,352.38,302.3,246.53
291,306.94,842.65,467.0,257.03,258.5
292,249.91,937.39,439.37,268.61,287.8
293,253.21,874.99,359.0,288.63,266.64
294,260.67,858.2,412.14,234.86,295.69
295,257.41,877.14,257.17,262.89,307.52
296,267.98,884.61,319.74,268.19,282.17
297,299.19,959.88,379.01,334.95,250.69
298,267.43,844.23,467.85,250.57,196.83
299,252.82,897.85,340.44,254.37,289.78
300,270.86,908.63,299.2,280.71,280.09
301,242.08,840.89,392.86,279.78,230.29
302,253.89,841.34,388.97,228.27,268.36
303,267.55,765.74,490.79,291.72,293.41
304,269.58,919.71,448.26,289.04,273.07
305,255.73,834.98,316.53,238.76,268.48
306,247.27,851.19,407.18,251.81,242.92
307,273.44,795.34,360.75,263.46,244.28
308,277.7,880.33,436.46,249.58,264.66
309,267.17,924.06,263.89,330.93,280.84
310,239.94,777.57,401.68,280.48,276.72
311,263.52,1028.07,352.06,224.1,238.55
312,321.37,891.55,336.16,271.61,256.81
313,246.54,938.86,268.02,269.81,258.81
314,286.58,899.96,346.35,242.67,281.16
315,316.0,771.9,464.79,257.35,277.71
316,275.67,883.71,311.92,266.86,269.51
317,224.72,786.66,412.88,212.57,216.88
318,301.04,989.23,395.84,262.57,284.48
319,280.8,967.41,399.85,253.55,276.75
320,253.23,761.22,378.36,242.64,227.65
321,205.11,820.45,532.29,246.26,272.74
322,256.74,944.55,274.34,232.21,253.05
323,259.73,884.73,372.04,233.39,305.29
324,299.18,922.68,312.01,283.35,253.83
325,219.83,806.97,349.24,269.67,228.78
326,221.94,938.56,414.43,263.82,244.95
327,263.97,1012.1,347.82,240.87,265.31
328,220.78,863.77,329.9,259.75,235.2
329,284.8,760.52,327.74,255.59,215.34
330,233.17,792.28,242.07,249.4,213.22
331,275.41,801.48,435.35,290.66,233.51
332,242.55,790.62,333.16,247.44,226.42
333,222.41,968.09,358.43,249.06,244.94
334,232.46,788.23,378.4,240.96,261.92
335,258.1,799.45,466.44,250.76,236.18
336,230.83,1023.33,348.14,221.72,265.4
337,253.32,872.23,397.52,214.77,277.23
338,217.0,772.88,466.0,269.18,210.34
339,248.37,737.46,387.36,232.68,245.68
340,238.75,972.74,524.43,243.29,245.26
341,255.57,984.83,308.88,256.66,241.93
342,260.06,956.88,310.4,221.53,268.84
343,277.49,897.92,413.68,190.51,251.22
344,262.55,795.95,288.96,248.73,217.48
345,200.07,880.93,376.61,218.42,217.25
346,246.32,869.39,445.35,241.69,234.95
347,274.18,967.41,360.39,253.62,209.73
348,270.55,751.14,319.66,255.54,221.69
349,259.54,911.92,334.63,211.25,250.97
350,244.53,902.78,354.23,251.39,281.05
351,241.28,868.03,412.66,229.67,253.49
352,219.05,951.72,357.76,234.67,236.36
353,179.92,862.59,449.35,266.86,269.6
354,213.86,828.88,312.39,228.83,249.0
355,238.09,886.6,367.55,227.0,283.32
356,263.43,821.18,265.14,214.97,218.82
357,238.49,910.15,350.21,219.49,216.98
358,208.53,890.49,304.9,263.48,239.19
359,244.08,782.35,380.92,208.97,250.44
360,205.11,757.28,414.43,239.16,230.83
361,224.89,710.26,339.34,255.49,295.3
362,234.99,978.86,237.86,253.33,234.87
363,194.7,874.28,264.93,207.28,238.43
364,218.9,894.04,372.89,226.65,249.56
365,195.87,856.79,393.9,257.15,231.13
366,229.45,1011.38,323.08,242.09,235.7
367,256.72,954.3,359.56,244.8,249.29
368,208.96,820.2,270.3,237.62,245.04
369,277.63,850.88,455.45,221.86,198.61
370,268.84,879.16,336.46,267.66,244.13
371,218.5,783.22,328.21,248.95,222.23
372,239.64,938.52,315.76,243.05,256.28
373,214.18,988.6,355.4,223.08,211.21
374,259.69,891.75,468.49,212.35,203.04
375,246.94,917.05,321.77,239.18,257.8
376,254.55,885.23,390.31,214.5,202.7
377,237.05,879.82,313.87,235.88,225.21
378,225.9,877.85,388.52,256.44,175.21
379,275.79,923.0,323.1,185.52,230.77
380,228.07,836.34,411.69,229.36,230.88
381,256.01,938.04,365.21,236.4,254.52
382,243.55,916.92,398.13,261.89,189.74
383,224.3,896.46,338.04,269.87,223.61
384,209.16,894.99,287.81,231.07,253.31
385,261.83,772.8,297.7,214.64,216.16
386,229.24,980.41,295.58,266.72,205.4
387,236.59,838.49,272.88,223.87,213.93
388,267.85,944.06,351.34,183.0,201.19
389,206.85,868.98,307.76,210.4,243.91
390,241.7,937.88,361.7,225.83,223.2
391,259.66,658.45,314.38,254.17,255.36
392,260.76,771.91,273.83,227.8,230.24
393,247.55,813.2,338.49,181.08,214.84
394,216.77,951.98,314.41,221.74,214.97
395,240.48,962.29,391.81,261.78,233.86
396,219.01,753.07,374.49,206.04,251.28
397,231.46,891.15,334.26,252.64,221.79
398,257.43,739.04,341.95,225.77,259.79
399,213.07,964.42,283.46,237.86,208.88
400,210.13,862.91,332.87,237.84,223.27
401,222.54,851.25,331.29,267.12,247.52
402,196.66,904.06,330.14,228.1,207.11
403,214.18,740.53,353.5,232.11,224.16
404,247.86,950.47,314.58,240.37,212.21
405,266.76,873.89,383.03,268.88,235.81
406,205.83,977.27,314.17,230.7,214.73
407,232.4,850.33,338.11,242.23,252.23
408,255.5,816.56,301.83,235.96,217.09
409,222.65,759.69,289.54,195.66,212.9
410,190.53,968.24,367.36,229.54,239.22
411,208.87,735.12,305.04,223.18,231.11
412,243.02,877.29,377.03,219.12,219.12
413,193.68,908.98,293.94,235.6,247.26
414,198.21,911.21,290.98,252.56,229.43
415,222.92,824.06,296.84,277.62,249.07
416,234.02,887.39,317.77,237.48,224.47
417,233.18,926.68,383.06,243.86,221.56
418,182.14,800.29,433.06,233.84,241.68
419,245.94,973.66,372.65,231.13,222.93
420,228.48,804.24,276.71,185.78,227.39
421,250.4,753.04,295.25,223.11,214.85
422,210.87,899.75,318.8,187.98,232.97
423,240.64,869.11,311.77,229.42,201.69
424,229.54,854.02,330.99,203.77,188.15
425,237.85,888.17,351.25,220.87,199.97
426,221.14,810.01,289.16,199.35,223.44
427,184.8,983.42,213.32,203.05,232.5
428,207.36,812.94,288.04,207.7,211.61
429,198.9,845.87,355.41,206.25,243.66
